,0,1
0,43722.65625,-125.75352
1,43724.609375,-126.53341
2,43726.5625,-126.85329
3,43728.515625,-126.68198
4,43730.46875,-126.86772
5,43732.421875,-126.919
6,43734.375,-125.76078
7,43736.328125,-124.90329
8,43738.28125,-124.87572
9,43740.234375,-125.55876
10,43742.1875,-126.35661
11,43744.140625,-127.12241
12,43746.09375,-127.01836
13,43748.046875,-126.03795
14,43750.0,-126.40651
15,43751.953125,-127.50597
16,43753.90625,-127.35117
17,43755.859375,-126.76127
18,43757.8125,-127.04469
19,43759.765625,-127.10366
20,43761.71875,-126.78229
21,43763.671875,-126.52676
22,43765.625,-126.45913
23,43767.578125,-127.28374
24,43769.53125,-127.66064
25,43771.484375,-126.66174
26,43773.4375,-125.90865
27,43775.390625,-126.03283
28,43777.34375,-126.54853
29,43779.296875,-126.93646
30,43781.25,-127.00125
31,43783.203125,-127.00394
32,43785.15625,-126.88337
33,43787.109375,-126.40006
34,43789.0625,-126.51945
35,43791.015625,-126.84363
36,43792.96875,-126.43672
37,43794.921875,-126.04765
38,43796.875,-126.1284
39,43798.828125,-126.07599
40,43800.78125,-126.68697
41,43802.734375,-126.89243
42,43804.6875,-127.19533
43,43806.640625,-127.30587
44,43808.59375,-126.46754
45,43810.546875,-126.17274
46,43812.5,-126.51543
47,43814.453125,-126.22311
48,43816.40625,-125.73788
49,43818.359375,-125.94513
50,43820.3125,-126.54978
51,43822.265625,-126.05135
52,43824.21875,-126.13959
53,43826.171875,-126.58126
54,43828.125,-126.93525
55,43830.078125,-126.80479
56,43832.03125,-126.46072
57,43833.984375,-126.57554
58,43835.9375,-126.97824
59,43837.890625,-127.43846
60,43839.84375,-127.70466
61,43841.796875,-127.58306
62,43843.75,-127.49797
63,43845.703125,-127.46374
64,43847.65625,-126.26907
65,43849.609375,-125.80415
66,43851.5625,-125.96532
67,43853.515625,-125.72818
68,43855.46875,-126.65247
69,43857.421875,-127.66947
70,43859.375,-126.79169
71,43861.328125,-126.13972
72,43863.28125,-126.98733
73,43865.234375,-128.29749
74,43867.1875,-128.33646
75,43869.140625,-127.58222
76,43871.09375,-127.09059
77,43873.046875,-127.49187
78,43875.0,-127.45318
79,43876.953125,-126.72071
80,43878.90625,-126.98732
81,43880.859375,-127.7654
82,43882.8125,-126.96941
83,43884.765625,-126.14626
84,43886.71875,-126.15069
85,43888.671875,-126.27441
86,43890.625,-126.78104
87,43892.578125,-126.5211
88,43894.53125,-126.2984
89,43896.484375,-126.43713
90,43898.4375,-127.30933
91,43900.390625,-127.5272
92,43902.34375,-127.35246
93,43904.296875,-126.48128
94,43906.25,-126.01508
95,43908.203125,-126.61865
96,43910.15625,-126.60687
97,43912.109375,-126.43166
98,43914.0625,-125.94572
99,43916.015625,-125.41541
100,43917.96875,-125.76642
101,43919.921875,-126.44408
102,43921.875,-126.08483
103,43923.828125,-125.68109
104,43925.78125,-126.18468
105,43927.734375,-126.68676
106,43929.6875,-125.8512
107,43931.640625,-125.74468
108,43933.59375,-126.51544
109,43935.546875,-127.0472
110,43937.5,-127.21501
111,43939.453125,-127.39748
112,43941.40625,-127.31297
113,43943.359375,-126.49001
114,43945.3125,-125.78475
115,43947.265625,-125.82549
116,43949.21875,-126.78094
117,43951.171875,-126.91302
118,43953.125,-126.57102
119,43955.078125,-126.36872
120,43957.03125,-125.93269
121,43958.984375,-126.00849
122,43960.9375,-125.97446
123,43962.890625,-126.48409
124,43964.84375,-126.81362
125,43966.796875,-126.6819
126,43968.75,-126.0675
127,43970.703125,-126.22392
128,43972.65625,-126.40042
129,43974.609375,-125.94443
130,43976.5625,-126.2451
131,43978.515625,-126.65089
132,43980.46875,-126.37618
133,43982.421875,-126.73554
134,43984.375,-127.21897
135,43986.328125,-126.65517
136,43988.28125,-126.74639
137,43990.234375,-127.00296
138,43992.1875,-126.93509
139,43994.140625,-126.94958
140,43996.09375,-127.01188
141,43998.046875,-126.10771
142,44000.0,-125.82437
143,44001.953125,-126.10799
144,44003.90625,-127.14323
145,44005.859375,-127.79167
146,44007.8125,-126.99557
147,44009.765625,-126.91864
148,44011.71875,-126.38457
149,44013.671875,-126.70848
150,44015.625,-127.78213
151,44017.578125,-127.99113
152,44019.53125,-126.6789
153,44021.484375,-126.06409
154,44023.4375,-126.0339
155,44025.390625,-125.84388
156,44027.34375,-126.14143
157,44029.296875,-127.01675
158,44031.25,-127.53762
159,44033.203125,-127.3675
160,44035.15625,-126.29311
161,44037.109375,-125.7376
162,44039.0625,-125.92533
