X(4.125 mm) E(1270.81 V) 

X(4.1375 mm) E(1266.51 V) 

X(4.15 mm) E(1262.18 V) 

X(4.1625 mm) E(1257.81 V) 

X(4.175 mm) E(1253.42 V) 

X(4.1875 mm) E(1248.99 V) 

X(4.2 mm) E(1244.54 V) 

X(4.2125 mm) E(1240.06 V) 

X(4.225 mm) E(1235.55 V) 

X(4.2375 mm) E(1231.01 V) 

X(4.25 mm) E(1226.45 V) 

X(4.2625 mm) E(1221.86 V) 

X(4.275 mm) E(1217.25 V) 

X(4.2875 mm) E(1212.62 V) 

X(4.3 mm) E(1207.96 V) 

X(4.3125 mm) E(1203.28 V) 

X(4.325 mm) E(1198.58 V) 

X(4.3375 mm) E(1193.86 V) 

X(4.35 mm) E(1189.13 V) 

X(4.3625 mm) E(1184.37 V) 

X(4.375 mm) E(1179.59 V) 

X(4.3875 mm) E(1174.8 V) 

X(4.4 mm) E(1169.98 V) 

X(4.4125 mm) E(1165.15 V) 

X(4.425 mm) E(1160.31 V) 

X(4.4375 mm) E(1155.45 V) 

X(4.45 mm) E(1150.58 V) 

X(4.4625 mm) E(1145.69 V) 

X(4.475 mm) E(1140.78 V) 

X(4.4875 mm) E(1135.87 V) 

X(4.5 mm) E(1130.94 V) 

X(4.5125 mm) E(1126 V) 

X(4.525 mm) E(1121.04 V) 

X(4.5375 mm) E(1116.08 V) 

X(4.55 mm) E(1111.1 V) 

X(4.5625 mm) E(1106.11 V) 

X(4.575 mm) E(1101.11 V) 

X(4.5875 mm) E(1096.11 V) 

X(4.6 mm) E(1091.09 V) 

X(4.6125 mm) E(1086.06 V) 

X(4.625 mm) E(1081.03 V) 

X(4.6375 mm) E(1075.98 V) 

X(4.65 mm) E(1070.93 V) 

X(4.6625 mm) E(1065.87 V) 

X(4.675 mm) E(1060.8 V) 

X(4.6875 mm) E(1055.73 V) 

X(4.7 mm) E(1050.64 V) 

X(4.7125 mm) E(1045.55 V) 

X(4.725 mm) E(1040.46 V) 

X(4.7375 mm) E(1035.35 V) 

X(4.75 mm) E(1030.25 V) 

X(4.7625 mm) E(1025.13 V) 

X(4.775 mm) E(1020.01 V) 

X(4.7875 mm) E(1014.89 V) 

X(4.8 mm) E(1009.76 V) 

X(4.8125 mm) E(1004.62 V) 

X(4.825 mm) E(999.48 V) 

X(4.8375 mm) E(994.336 V) 

X(4.85 mm) E(989.187 V) 

X(4.8625 mm) E(984.035 V) 

X(4.875 mm) E(978.878 V) 

X(4.8875 mm) E(973.718 V) 

X(4.9 mm) E(968.554 V) 

X(4.9125 mm) E(963.387 V) 

X(4.925 mm) E(958.217 V) 

X(4.9375 mm) E(953.043 V) 

X(4.95 mm) E(947.867 V) 

X(4.9625 mm) E(942.688 V) 

X(4.975 mm) E(937.507 V) 

X(4.9875 mm) E(932.323 V) 

X(5 mm) E(927.138 V) 

X(5.0125 mm) E(921.95 V) 

X(5.025 mm) E(916.76 V) 

X(5.0375 mm) E(911.568 V) 

X(5.05 mm) E(906.375 V) 

X(5.0625 mm) E(901.18 V) 

X(5.075 mm) E(895.984 V) 

X(5.0875 mm) E(890.787 V) 

X(5.1 mm) E(885.588 V) 

X(5.1125 mm) E(880.389 V) 

X(5.125 mm) E(875.189 V) 

X(5.1375 mm) E(869.988 V) 

X(5.15 mm) E(864.786 V) 

X(5.1625 mm) E(859.584 V) 

X(5.175 mm) E(854.382 V) 

X(5.1875 mm) E(849.179 V) 

X(5.2 mm) E(843.976 V) 

X(5.2125 mm) E(838.774 V) 

X(5.225 mm) E(833.571 V) 

X(5.2375 mm) E(828.369 V) 

X(5.25 mm) E(823.167 V) 

X(5.2625 mm) E(817.965 V) 

X(5.275 mm) E(812.764 V) 

X(5.2875 mm) E(807.564 V) 

X(5.3 mm) E(802.364 V) 

X(5.3125 mm) E(797.166 V) 

X(5.325 mm) E(791.968 V) 

X(5.3375 mm) E(786.772 V) 

X(5.35 mm) E(781.577 V) 

X(5.3625 mm) E(776.383 V) 

X(5.375 mm) E(771.191 V) 

X(5.3875 mm) E(766 V) 

X(5.4 mm) E(760.811 V) 

X(5.4125 mm) E(755.624 V) 

X(5.425 mm) E(750.438 V) 

X(5.4375 mm) E(745.255 V) 

X(5.45 mm) E(740.074 V) 

X(5.4625 mm) E(734.895 V) 

X(5.475 mm) E(729.719 V) 

X(5.4875 mm) E(724.545 V) 

X(5.5 mm) E(719.373 V) 

X(5.5125 mm) E(714.204 V) 

