,0,1
0,43722.65625,-126.79939
1,43724.609375,-127.10096
2,43726.5625,-127.26254
3,43728.515625,-126.66656
4,43730.46875,-126.20202
5,43732.421875,-126.72737
6,43734.375,-126.71212
7,43736.328125,-125.92837
8,43738.28125,-126.06805
9,43740.234375,-127.21948
10,43742.1875,-127.45777
11,43744.140625,-127.13787
12,43746.09375,-127.00733
13,43748.046875,-126.70589
14,43750.0,-126.55791
15,43751.953125,-126.69743
16,43753.90625,-126.8124
17,43755.859375,-127.03417
18,43757.8125,-127.0931
19,43759.765625,-127.2968
20,43761.71875,-127.24928
21,43763.671875,-126.26617
22,43765.625,-125.89419
23,43767.578125,-126.15089
24,43769.53125,-126.15987
25,43771.484375,-126.10572
26,43773.4375,-125.82069
27,43775.390625,-126.01159
28,43777.34375,-126.75123
29,43779.296875,-126.45636
30,43781.25,-125.90548
31,43783.203125,-126.43725
32,43785.15625,-126.96792
33,43787.109375,-126.88609
34,43789.0625,-126.88257
35,43791.015625,-126.97161
36,43792.96875,-126.86451
37,43794.921875,-127.63197
38,43796.875,-127.97948
39,43798.828125,-127.51857
40,43800.78125,-126.64951
41,43802.734375,-125.83723
42,43804.6875,-126.02344
43,43806.640625,-126.50977
44,43808.59375,-127.24685
45,43810.546875,-126.64728
46,43812.5,-125.37498
47,43814.453125,-125.22276
48,43816.40625,-125.43383
49,43818.359375,-125.76584
50,43820.3125,-125.62939
51,43822.265625,-125.39339
52,43824.21875,-125.72568
53,43826.171875,-126.59386
54,43828.125,-127.56062
55,43830.078125,-127.02974
56,43832.03125,-126.75222
57,43833.984375,-126.55054
58,43835.9375,-126.05439
59,43837.890625,-125.60874
60,43839.84375,-125.74844
61,43841.796875,-125.84478
62,43843.75,-125.86142
63,43845.703125,-126.24527
64,43847.65625,-126.00147
65,43849.609375,-125.99701
66,43851.5625,-126.86503
67,43853.515625,-127.07262
68,43855.46875,-126.75204
69,43857.421875,-126.89939
70,43859.375,-127.00035
71,43861.328125,-126.33023
72,43863.28125,-126.2094
73,43865.234375,-126.1305
74,43867.1875,-125.52675
75,43869.140625,-125.5023
76,43871.09375,-125.61363
77,43873.046875,-125.85008
78,43875.0,-126.47594
79,43876.953125,-126.29762
80,43878.90625,-126.30383
81,43880.859375,-126.72058
82,43882.8125,-125.92152
83,43884.765625,-125.82317
84,43886.71875,-126.01835
85,43888.671875,-126.08863
86,43890.625,-126.44644
87,43892.578125,-126.89501
88,43894.53125,-126.74264
89,43896.484375,-126.26653
90,43898.4375,-126.53977
91,43900.390625,-126.29508
92,43902.34375,-125.98367
93,43904.296875,-125.94565
94,43906.25,-126.41558
95,43908.203125,-126.448
96,43910.15625,-126.07035
97,43912.109375,-126.0329
98,43914.0625,-126.34584
99,43916.015625,-125.83286
100,43917.96875,-126.35109
101,43919.921875,-127.1352
102,43921.875,-126.52682
103,43923.828125,-126.24512
104,43925.78125,-126.28992
105,43927.734375,-126.4351
106,43929.6875,-126.48025
107,43931.640625,-126.23873
108,43933.59375,-126.28844
109,43935.546875,-126.45605
110,43937.5,-126.22026
111,43939.453125,-126.4466
112,43941.40625,-126.72552
113,43943.359375,-126.05219
114,43945.3125,-125.7981
115,43947.265625,-126.12942
116,43949.21875,-126.02814
117,43951.171875,-126.13126
118,43953.125,-126.55225
119,43955.078125,-126.92825
120,43957.03125,-126.62082
121,43958.984375,-126.74464
122,43960.9375,-126.80901
123,43962.890625,-126.48722
124,43964.84375,-126.09548
125,43966.796875,-125.80821
126,43968.75,-125.86513
127,43970.703125,-126.2657
128,43972.65625,-126.87085
129,43974.609375,-127.34722
130,43976.5625,-127.02619
131,43978.515625,-126.59919
132,43980.46875,-126.8231
133,43982.421875,-127.0692
134,43984.375,-126.80404
135,43986.328125,-126.40539
136,43988.28125,-126.29232
137,43990.234375,-126.38563
138,43992.1875,-126.82832
139,43994.140625,-127.12406
140,43996.09375,-126.28262
141,43998.046875,-125.94531
142,44000.0,-126.48065
143,44001.953125,-126.65376
144,44003.90625,-126.58496
145,44005.859375,-127.0933
146,44007.8125,-127.41986
147,44009.765625,-126.72484
148,44011.71875,-125.6708
149,44013.671875,-125.25854
150,44015.625,-125.4556
151,44017.578125,-125.92208
152,44019.53125,-126.17577
153,44021.484375,-126.46722
154,44023.4375,-126.29934
155,44025.390625,-125.83826
156,44027.34375,-125.74152
157,44029.296875,-126.01803
158,44031.25,-125.85995
159,44033.203125,-125.62878
160,44035.15625,-126.12354
161,44037.109375,-127.56774
162,44039.0625,-126.99286
163,44041.015625,-126.15277
164,44042.96875,-126.20048
165,44044.921875,-126.45457
166,44046.875,-126.41722
167,44048.828125,-125.80089
168,44050.78125,-126.05488
169,44052.734375,-125.78948
170,44054.6875,-125.64947
171,44056.640625,-125.98152
172,44058.59375,-126.04114
173,44060.546875,-126.11881
174,44062.5,-126.24613
175,44064.453125,-126.73267
176,44066.40625,-126.637
177,44068.359375,-126.23664
178,44070.3125,-126.42883
179,44072.265625,-126.78812
180,44074.21875,-126.16717
181,44076.171875,-125.97813
182,44078.125,-126.25634
183,44080.078125,-126.19649
184,44082.03125,-125.42686
185,44083.984375,-125.61226
186,44085.9375,-126.65985
187,44087.890625,-126.44884
188,44089.84375,-125.97408
189,44091.796875,-126.18151
190,44093.75,-126.26334
191,44095.703125,-125.95428
192,44097.65625,-126.9434
193,44099.609375,-126.67733
194,44101.5625,-126.39086
195,44103.515625,-126.29364
196,44105.46875,-126.11606
