,0,1
0,43722.65625,-126.09232
1,43724.609375,-126.03683
2,43726.5625,-126.64363
3,43728.515625,-127.39298
4,43730.46875,-127.45665
5,43732.421875,-126.78349
6,43734.375,-126.32986
7,43736.328125,-125.84377
8,43738.28125,-125.08832
9,43740.234375,-124.76569
10,43742.1875,-125.33767
11,43744.140625,-126.26934
12,43746.09375,-126.04429
13,43748.046875,-125.91729
14,43750.0,-125.99568
15,43751.953125,-125.66325
16,43753.90625,-125.92169
17,43755.859375,-126.4808
18,43757.8125,-126.87267
19,43759.765625,-126.6376
20,43761.71875,-126.08092
21,43763.671875,-126.21414
22,43765.625,-126.23134
23,43767.578125,-126.19328
24,43769.53125,-126.85785
25,43771.484375,-127.24262
26,43773.4375,-126.75089
27,43775.390625,-126.20402
28,43777.34375,-126.51675
29,43779.296875,-126.86067
30,43781.25,-126.69755
31,43783.203125,-127.05324
32,43785.15625,-127.18655
33,43787.109375,-126.78522
34,43789.0625,-126.56615
35,43791.015625,-126.97349
36,43792.96875,-126.65064
37,43794.921875,-125.83141
38,43796.875,-126.15155
39,43798.828125,-126.79379
40,43800.78125,-126.56268
41,43802.734375,-126.08206
42,43804.6875,-125.76839
43,43806.640625,-125.70934
44,43808.59375,-125.63869
45,43810.546875,-125.52428
46,43812.5,-126.23359
47,43814.453125,-126.64931
48,43816.40625,-125.98757
49,43818.359375,-125.57626
50,43820.3125,-125.79674
51,43822.265625,-126.10029
52,43824.21875,-125.92575
53,43826.171875,-125.826
54,43828.125,-125.90794
55,43830.078125,-126.54955
56,43832.03125,-127.18488
57,43833.984375,-127.49473
58,43835.9375,-127.06151
59,43837.890625,-126.40771
60,43839.84375,-125.98196
61,43841.796875,-126.1326
62,43843.75,-126.48992
63,43845.703125,-126.50247
64,43847.65625,-126.51534
65,43849.609375,-126.25534
66,43851.5625,-125.81818
67,43853.515625,-126.25323
68,43855.46875,-126.75983
69,43857.421875,-126.71693
70,43859.375,-126.80178
71,43861.328125,-126.46078
72,43863.28125,-127.11676
73,43865.234375,-127.38383
74,43867.1875,-126.62083
75,43869.140625,-126.59229
76,43871.09375,-125.2911
77,43873.046875,-124.69269
78,43875.0,-125.86192
79,43876.953125,-127.12642
80,43878.90625,-127.03973
81,43880.859375,-126.6797
82,43882.8125,-126.82276
83,43884.765625,-126.4098
84,43886.71875,-126.67393
85,43888.671875,-126.80973
86,43890.625,-125.93855
87,43892.578125,-125.38912
88,43894.53125,-125.70702
89,43896.484375,-125.61444
90,43898.4375,-125.52217
91,43900.390625,-125.73729
92,43902.34375,-125.68772
93,43904.296875,-125.72777
94,43906.25,-125.87751
95,43908.203125,-125.56408
96,43910.15625,-125.29125
97,43912.109375,-125.55518
98,43914.0625,-126.27229
99,43916.015625,-126.62421
100,43917.96875,-126.52937
101,43919.921875,-126.44546
102,43921.875,-125.98071
103,43923.828125,-125.99323
104,43925.78125,-126.38202
105,43927.734375,-126.69958
106,43929.6875,-126.26666
107,43931.640625,-125.71935
108,43933.59375,-126.18938
109,43935.546875,-126.36307
110,43937.5,-126.45463
111,43939.453125,-126.12271
112,43941.40625,-126.31805
113,43943.359375,-125.97416
114,43945.3125,-125.34055
115,43947.265625,-125.34792
116,43949.21875,-126.16711
117,43951.171875,-125.93707
118,43953.125,-125.27914
119,43955.078125,-125.28323
120,43957.03125,-125.78352
121,43958.984375,-126.35197
122,43960.9375,-126.27252
123,43962.890625,-125.46713
124,43964.84375,-125.32921
125,43966.796875,-125.69536
126,43968.75,-126.27245
127,43970.703125,-126.82302
128,43972.65625,-126.92984
129,43974.609375,-126.41888
130,43976.5625,-125.75525
131,43978.515625,-125.83273
132,43980.46875,-125.26745
133,43982.421875,-124.9071
134,43984.375,-125.63618
135,43986.328125,-126.80065
136,43988.28125,-126.73582
137,43990.234375,-126.28857
138,43992.1875,-126.21885
139,43994.140625,-125.98589
140,43996.09375,-125.72374
141,43998.046875,-125.7737
142,44000.0,-126.33493
143,44001.953125,-126.87546
144,44003.90625,-127.11867
145,44005.859375,-126.52868
146,44007.8125,-126.91851
147,44009.765625,-128.2375
148,44011.71875,-127.69563
149,44013.671875,-125.70444
150,44015.625,-125.24987
151,44017.578125,-125.72334
152,44019.53125,-126.10265
153,44021.484375,-126.04971
154,44023.4375,-125.73844
155,44025.390625,-125.48155
156,44027.34375,-125.48955
157,44029.296875,-126.31171
158,44031.25,-127.06726
159,44033.203125,-126.67946
160,44035.15625,-126.99352
161,44037.109375,-127.2961
162,44039.0625,-125.64941
163,44041.015625,-125.00668
164,44042.96875,-125.73034
165,44044.921875,-126.21288
166,44046.875,-125.77109
167,44048.828125,-126.10949
168,44050.78125,-126.46282
169,44052.734375,-126.56326
170,44054.6875,-125.54071
171,44056.640625,-125.11028
172,44058.59375,-125.70429
173,44060.546875,-125.69205
174,44062.5,-125.96571
175,44064.453125,-125.89307
176,44066.40625,-125.783
177,44068.359375,-126.10382
178,44070.3125,-126.4987
179,44072.265625,-126.45472
180,44074.21875,-125.87824
181,44076.171875,-125.09286
182,44078.125,-125.64641
183,44080.078125,-126.4398
184,44082.03125,-126.2038
185,44083.984375,-125.9667
186,44085.9375,-126.54727
187,44087.890625,-127.12833
188,44089.84375,-127.13664
189,44091.796875,-126.37672
190,44093.75,-125.33186
191,44095.703125,-124.46259
192,44097.65625,-125.07469
193,44099.609375,-126.20802
194,44101.5625,-126.30495
195,44103.515625,-126.30896
196,44105.46875,-126.07877
197,44107.421875,-125.53949
198,44109.375,-125.48597
199,44111.328125,-125.32237
200,44113.28125,-124.77052
